Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Speed
29,8,2024,21,2,46,86945,43071,60145
27,1,2022,12,56,8,47668,65627,10485
3,5,2018,19,52,47,71075,58482,60506
29,4,2012,6,60,31,58362,45437,1553
24,8,2015,8,16,23,34590,59468,12914
15,2,2014,1,5,53,35756,70850,98491
5,9,2010,15,20,11,98975,48491,60409
17,3,2028,22,27,26,41602,49181,57562
19,1,2020,8,36,28,81928,58148,45254
23,1,2018,21,22,51,93320,96420,41818
10,9,2029,4,47,23,41473,6633,86707
14,8,2021,14,31,26,38569,36407,66527
25,2,2014,9,19,14,64205,37127,38727
14,7,2017,15,30,20,76819,97446,32258
28,6,2015,11,11,31,99209,35651,42366
20,8,2017,23,47,44,57263,20091,45777
28,3,2028,24,25,4,21491,89799,22121
12,2,2028,4,18,17,23205,14366,40056
9,8,2023,16,30,3,47162,29053,1050
6,11,2030,8,22,49,48891,92617,47183
4,10,2027,22,32,27,969,71355,30370
14,12,2016,17,16,30,89063,2336,73040
3,9,2030,4,22,14,56291,26529,34119
15,4,2016,8,7,22,32757,17359,41388
23,1,2030,11,42,36,28646,12583,99740
5,7,2011,19,9,22,71616,48718,15220
10,11,2024,17,15,3,22443,21922,21912
28,10,2014,6,32,37,47136,45206,75814
5,8,2026,20,5,28,32200,97696,78305
24,1,2020,18,21,21,47814,54218,67438
24,2,2016,23,28,12,77975,56017,63491
27,4,2011,6,3,60,83998,2922,62537
3,6,2016,20,38,2,91986,82315,11002
21,10,2016,13,41,43,76836,46009,36160
23,9,2016,4,6,30,45648,59359,64146
20,6,2017,23,56,58,18151,1606,1098
11,10,2021,9,51,3,40579,40823,20477
27,5,2025,8,46,10,41237,33621,15333
26,8,2014,3,14,33,54285,67313,935
23,6,2028,3,11,3,35593,6971,64136
23,6,2030,13,56,15,18048,74528,42050
13,6,2014,14,20,46,41956,28895,27207
28,11,2022,6,35,8,81327,20281,69413
28,2,2026,23,22,42,5234,95725,92120
8,9,2013,3,3,36,86506,72579,79929
6,10,2016,13,44,14,58926,42681,313
21,3,2023,16,21,44,38626,33459,24511
9,2,2021,21,27,56,91201,92283,84377
4,12,2015,1,20,4,63607,7076,86992
22,8,2013,5,37,54,26599,28848,42693
12,6,2016,2,51,35,44667,25688,89611
2,12,2027,8,28,39,26999,73187,98579
13,1,2022,12,15,44,87363,42175,52541
5,8,2022,14,43,23,23506,54338,90439
5,7,2024,3,29,28,46648,59468,56535
10,2,2018,8,41,5,91950,93571,20808
28,2,2016,1,31,11,69306,80897,25437
27,12,2012,23,38,33,6993,61856,2300
30,11,2028,22,29,58,63568,54866,13658
9,6,2018,20,2,44,5659,30383,88951
1,4,2023,3,36,38,24458,96283,95289
6,8,2011,10,21,41,44179,29306,22673
15,9,2021,13,45,41,37626,84487,19559
3,10,2018,17,21,55,22469,93328,93069
24,4,2013,1,40,34,98833,16129,2543
22,10,2026,7,46,46,98584,64535,91783
2,1,2020,19,2,50,35508,913,83578
11,3,2027,18,20,50,91700,89532,47527
22,1,2013,13,53,39,54301,88477,99765
2,6,2016,1,35,27,12706,26260,98177
14,11,2012,20,32,54,96803,47968,81017
23,12,2015,13,50,17,86833,40258,74248
3,3,2029,14,9,36,75456,24520,88171
3,6,2014,2,59,22,39255,99104,39540
14,9,2010,22,60,39,8092,87099,7895
27,5,2013,11,44,13,8856,4782,56268
3,9,2011,23,55,22,68532,19398,47934
28,8,2023,14,53,4,71748,24109,51833
16,1,2028,5,15,38,79595,60866,71720
23,10,2021,21,37,31,1623,26028,56401
21,9,2018,20,19,57,51700,68438,20895
29,2,2016,14,28,49,87401,86720,71710
21,5,2017,15,8,10,56300,94132,4499
27,3,2025,18,43,8,23535,66786,28510
16,4,2016,9,13,51,79821,66177,27948
5,2,2028,24,15,50,68308,61083,60242
2,5,2026,11,33,13,46117,14745,29860
23,7,2030,18,53,22,70473,21773,40427
5,5,2027,24,28,51,46972,62407,99925
5,4,2011,17,27,47,95931,66830,29778
15,2,2018,12,49,6,30780,44636,47522
29,4,2026,14,31,60,91511,56826,85652
9,12,2027,5,60,14,89514,9956,6042
17,2,2017,3,3,13,8856,56521,87532
26,4,2011,7,38,38,54123,71754,34524
13,4,2025,24,26,60,40807,131,34845
1,10,2011,2,19,9,84816,85788,50974
2,4,2011,15,9,9,62392,38853,28649
17,11,2026,6,26,57,23498,24648,95691
28,5,2017,23,4,42,12703,29367,15530
14,12,2017,23,22,20,93642,6066,41307
27,8,2017,23,4,44,83940,51473,38443
23,12,2010,16,9,29,24249,79882,8698
16,5,2022,13,56,59,1208,22985,58523
26,9,2028,6,31,9,36365,91227,86355
21,3,2021,12,2,53,56465,47805,83997
23,12,2013,18,34,35,7830,98125,84919
11,3,2026,11,38,42,94094,98737,78077
25,8,2023,7,48,33,42323,26707,10937
4,2,2013,24,8,51,76793,43317,57946
28,11,2022,20,35,38,84959,99148,65968
18,7,2023,19,29,19,30474,26121,88587
1,7,2016,10,21,58,34057,54184,61385
23,2,2026,2,25,34,9735,97865,55815
1,9,2021,10,21,3,12624,46251,48185
6,8,2027,4,21,7,38840,43681,84125
8,4,2030,6,14,17,18557,40687,458
21,5,2019,4,34,23,58045,30699,76170
17,10,2030,4,47,7,32784,12519,25228
14,5,2014,6,20,21,35314,68657,68046
10,9,2026,10,56,30,66852,27705,75110
3,10,2016,16,55,13,15877,29348,17828
29,1,2022,1,51,12,29055,25549,29712
2,2,2019,2,55,46,51106,35578,82956
5,3,2029,22,31,21,88158,25850,72414
18,6,2029,5,45,44,7001,91900,33186
1,4,2028,16,40,6,82075,13137,95357
14,3,2028,3,21,15,33252,84926,78704
17,8,2010,12,16,15,20625,47877,63049
6,12,2020,22,21,40,89077,58071,10195
2,4,2028,20,25,59,47826,30523,58232
24,3,2015,15,20,26,41144,28469,56750
13,7,2021,17,52,11,78595,9351,20942
12,6,2028,3,47,11,44508,24273,6106
3,4,2029,9,8,43,60042,34531,80214
21,10,2014,8,36,22,46113,60881,96295
30,8,2030,21,41,45,89341,72319,87378
24,1,2010,12,30,14,43330,47048,84721
28,2,2026,16,8,15,90249,95377,51509
10,8,2010,2,17,7,13801,43594,32272
5,8,2013,3,57,7,61236,43537,52030
16,10,2030,4,29,45,86562,63033,50554
30,11,2012,23,31,20,51564,33867,93385
22,4,2011,4,58,19,40983,51905,18928
18,12,2028,20,43,11,30081,42246,92634
22,1,2027,20,1,52,65156,39502,1830
5,7,2017,23,36,16,15535,14891,86080
26,4,2029,11,30,58,99103,50284,23793
26,9,2012,10,37,32,24535,90082,34024
25,9,2016,4,46,3,6201,86670,54087
6,11,2018,24,36,21,7641,86671,54855
28,8,2020,24,2,29,32349,22459,4780
3,4,2028,14,19,39,37230,23770,37113
7,11,2019,1,41,60,45189,24729,99690
3,1,2023,4,16,6,3885,26113,43883
24,3,2013,5,41,6,80989,14722,60244
22,11,2026,13,60,55,98405,38854,36939
20,12,2029,4,3,47,99613,20216,23073
9,6,2018,17,36,30,27525,3066,55723
12,4,2022,12,11,41,64939,63874,10997
13,10,2027,1,55,30,46764,73658,64368
3,3,2014,23,22,56,40713,64255,46432
23,2,2023,12,22,41,74769,96271,30255
22,6,2017,9,1,45,53452,46036,89316
28,10,2026,24,30,23,90592,36296,85722
7,8,2011,18,51,7,61721,43642,47350
30,11,2016,10,55,3,89863,88289,17591
6,7,2016,4,42,9,76546,84548,44883
3,1,2011,10,20,31,73895,57272,19463
4,3,2026,1,52,21,73284,1182,45320
3,10,2027,6,14,46,41531,80934,31067
12,4,2030,22,5,51,10045,31127,25206
14,9,2020,16,34,20,27289,88373,56153
3,3,2024,8,22,21,84040,13559,69075
2,5,2016,10,34,35,3577,50848,82161
16,6,2013,19,44,47,27415,90212,78104
17,6,2028,12,54,19,60039,11772,18497
25,7,2028,17,36,39,29494,60501,71451
18,9,2015,15,18,12,98272,28341,18490
1,4,2029,12,51,37,8634,50522,35702
18,1,2015,3,57,23,79805,94589,3553
30,8,2014,8,35,15,45176,58650,83774
7,4,2021,3,58,32,71825,40619,49449
3,11,2017,6,40,42,92824,81456,6464
14,9,2012,9,41,5,98390,25387,67700
11,12,2021,13,11,30,75489,74158,64556
30,6,2016,20,26,52,52712,42063,35592
1,1,2028,6,19,55,51145,49130,74844
4,6,2014,23,39,19,76066,38038,39920
23,12,2030,13,48,10,34868,46514,49014
6,5,2014,19,46,36,69899,20335,93362
28,4,2029,20,22,31,94869,21961,82530
27,5,2018,22,33,14,42892,24665,50466
8,3,2017,20,4,17,25435,49106,97853
25,10,2012,12,5,50,68348,94092,16439
9,7,2011,16,21,10,52056,37384,71812
16,12,2018,3,30,41,26802,40303,84302
30,4,2029,10,14,15,60902,88725,71481
28,11,2024,5,36,14,3784,47485,76330
11,12,2022,2,30,19,87572,296,75267
30,3,2018,21,33,47,51185,52057,26799
29,12,2022,2,53,8,41192,1154,5681
20,11,2011,3,5,52,28268,91005,47860
9,11,2030,14,28,60,30627,9197,73876
12,11,2018,6,58,55,78565,46684,12026
14,7,2019,11,7,58,22207,8471,11525
13,9,2019,13,20,29,61249,7430,35922
17,5,2017,24,12,22,48214,67887,10228
13,4,2013,1,22,35,52250,59513,46934
17,12,2015,2,58,33,81832,52932,2167
29,4,2027,24,9,45,80208,61354,33950
29,1,2028,23,36,1,45209,57119,2498
26,8,2014,22,42,50,19254,13510,11844
16,12,2018,14,32,1,94608,742,31459
3,1,2018,19,15,38,42887,51984,15198
30,8,2014,22,20,1,61352,81632,46773
20,3,2010,7,37,10,82179,11059,88846
23,6,2030,5,24,28,38490,9298,40999
2,10,2023,14,52,55,19837,68962,94256
9,12,2019,7,60,34,77893,61801,55948
27,8,2026,9,21,42,76197,96667,50257
16,10,2022,10,12,50,20150,63140,77438
2,8,2011,3,54,34,20501,87783,85356
12,5,2024,1,17,7,78626,90132,32760
21,3,2029,11,39,44,88623,68924,38692
3,2,2020,11,37,23,97701,86759,62010
26,4,2012,14,49,29,92189,44245,55467
22,2,2014,9,60,36,44076,11441,76843
11,3,2021,19,50,21,67425,41376,85925
28,10,2010,20,57,23,67641,9536,28930
9,2,2012,1,24,16,18547,16099,23723
29,2,2023,19,17,37,83358,67472,94623
27,12,2023,1,30,17,35354,23202,15311
27,12,2023,4,13,28,71042,74075,3499
28,3,2016,17,43,33,89012,35317,76844
2,1,2010,18,55,5,85064,34937,46431
9,4,2029,2,12,30,16651,10175,44264
27,8,2030,19,56,31,52584,2249,96651
15,7,2025,10,10,59,36353,74671,83792
11,4,2020,14,26,47,26500,85389,54785
17,2,2012,19,9,42,49602,69270,75619
17,11,2021,16,24,33,36763,44498,67299
8,2,2012,1,25,40,37219,66906,54139
2,9,2027,16,44,26,62967,35517,92103
30,4,2016,5,39,10,88433,65364,14574
26,3,2016,6,55,29,8377,23070,37419
23,9,2016,3,41,12,18030,61303,50126
18,3,2017,1,54,47,76214,57787,43820
16,1,2022,12,5,52,28647,37548,50892
4,3,2024,14,37,27,1292,94587,2981
12,5,2015,24,32,56,62669,42396,98707
22,3,2027,21,38,36,65974,94117,81192
27,2,2024,2,52,28,65801,34329,49534
16,12,2021,22,33,10,79812,21677,19070
15,9,2017,1,15,12,75413,97131,89660
6,8,2014,18,39,51,94473,65125,92412
16,1,2029,4,23,24,6933,96586,58433
16,9,2011,1,2,41,2396,36383,208
5,3,2016,2,43,59,25447,90468,25810
6,8,2025,18,5,27,30309,82770,86330
11,7,2012,24,8,12,31079,21704,49225
7,10,2012,4,21,57,74897,14998,77051
28,6,2028,8,14,11,13240,34060,28233
25,8,2019,21,10,34,25686,71716,51678
20,2,2027,9,49,15,46685,8457,25015
13,4,2012,9,17,36,39582,95604,29580
25,1,2024,22,6,19,35053,37093,68985
23,9,2015,15,53,2,33351,71101,42249
22,12,2024,3,3,29,57253,49892,90371
9,4,2024,12,40,17,22862,54615,74484
12,8,2012,1,21,52,60142,63165,86289
13,10,2030,4,29,50,10681,25945,1261
30,3,2020,8,29,44,97745,42513,81029
12,6,2025,2,3,42,48988,38101,37870
28,12,2012,7,25,50,95503,84872,20515
3,12,2024,4,19,44,45905,97629,93950
16,5,2022,2,7,55,70299,45028,20604
10,4,2026,8,18,27,95752,49732,63090
26,4,2029,1,45,47,85928,31297,75519
19,2,2025,5,7,57,1373,19201,99332
21,1,2024,7,29,6,42889,88913,36579
23,4,2011,3,1,57,38774,51691,26667
3,5,2021,16,56,54,72038,67103,66817
19,6,2010,24,42,31,32564,62310,59798
28,12,2015,1,33,56,2558,49656,71004
18,8,2022,19,23,59,28331,36002,79067
1,1,2019,6,24,45,58806,72114,17493
17,2,2013,19,45,5,19233,34827,69326
11,4,2017,4,47,24,3842,50127,97716
10,5,2027,22,11,23,60164,12006,93689
25,6,2010,12,41,20,33910,57560,92141
3,3,2021,10,13,51,78063,30445,58771
19,10,2014,17,58,57,15268,70830,73573
24,1,2029,20,31,18,16121,26897,28043
25,9,2019,7,50,1,64132,74712,3259
2,12,2023,20,22,11,6894,78846,17932
2,2,2024,5,13,29,35817,60474,32426
23,2,2023,24,3,40,53827,93419,20114
28,7,2026,4,8,54,2709,37457,77808
19,2,2027,6,56,46,72289,39117,60287
6,8,2014,16,35,6,2087,51268,64125
17,4,2013,7,14,48,19042,30494,67287
12,3,2023,14,38,53,63037,30567,98158
1,9,2010,3,58,47,7421,29922,38491
16,1,2010,13,52,27,9133,30199,48207
8,2,2021,17,25,59,17431,35253,36367
17,5,2016,4,33,53,45349,57298,63122
10,5,2028,24,19,57,15784,34068,5053
17,3,2017,10,51,16,16955,79275,32678
18,8,2013,21,56,9,35715,86784,88081
10,9,2023,21,53,17,57387,80394,61631
8,8,2027,15,22,19,50634,12484,85779
26,2,2021,16,31,59,73134,373,15642
17,9,2027,7,13,51,96678,50261,24757
8,1,2010,15,27,20,19683,21484,47772
18,7,2019,2,50,13,78640,11751,3769
28,12,2025,7,3,11,65175,86124,49628
1,11,2013,10,9,3,48045,19367,31356
24,3,2028,8,53,47,17949,23019,73701
21,12,2024,4,47,6,77918,76526,18494
1,10,2015,11,40,57,98397,90747,5915
27,5,2027,24,43,20,55976,9939,85112
28,8,2018,8,12,49,59441,47651,88297
5,8,2011,4,46,58,53015,10222,44817
23,7,2011,13,42,23,36575,37486,64255
30,10,2024,15,18,8,3998,93043,3250
3,1,2029,10,2,37,74869,75531,33751
9,1,2010,14,23,42,89268,12635,86700
14,12,2028,8,40,43,38568,1449,87063
19,2,2018,21,47,37,21914,55329,44007
28,9,2027,23,59,20,20675,52067,84744
7,7,2010,1,22,23,85246,98406,38237
4,6,2026,15,39,40,73306,60561,14717
3,8,2015,3,14,49,16899,42555,69794
29,11,2016,11,5,3,49400,98317,37093
28,12,2010,23,29,33,61916,4905,66647
13,7,2025,19,18,13,73159,26273,12538
22,1,2023,10,31,59,46775,824,55094
17,6,2025,24,1,10,63649,49782,49030
23,9,2021,1,4,33,6590,72677,92431
3,6,2011,20,28,21,30182,99837,50856
29,3,2029,5,55,12,64808,40048,10865
25,9,2017,15,30,21,92529,38114,75525
26,12,2030,1,15,23,94331,77822,97024
12,11,2028,12,1,40,10255,83309,61321
9,9,2030,11,20,28,46301,75788,83136
27,4,2018,13,30,7,26700,54321,95686
3,11,2021,17,54,24,26206,34921,55666
7,11,2015,2,33,59,88976,25117,85365
7,9,2022,1,18,54,93785,49737,65170
26,5,2022,21,57,5,87900,97081,32184
7,11,2020,20,11,20,22040,30115,6972
2,3,2026,4,31,13,7064,60211,28100
28,6,2010,19,50,28,6435,51831,94110
11,4,2017,3,50,35,90487,68003,33473
10,11,2017,12,49,40,47926,7154,93708
6,10,2028,8,41,13,16766,31661,28429
30,9,2023,1,15,43,45054,79415,76655
17,6,2016,1,33,17,15133,45429,54122
12,5,2012,4,57,53,5503,70241,63610
12,5,2016,8,14,6,88037,35239,34905
11,3,2024,17,31,50,59447,60921,54221
13,10,2030,11,9,59,36675,54100,59096
20,9,2026,20,28,44,67109,52452,12561
25,7,2022,1,7,54,82165,69813,75911
4,2,2026,8,20,8,92561,76999,47024
